"Plot Title: 20297239"
"#","Date Time, GMT-08:00","Avg: Temperature, °F (LGR S/N: 20297239)","Avg: Pressure, psi (LGR S/N: 20297239)","Max: Temperature, °F (LGR S/N: 20297239)","Min: Temperature, °F (LGR S/N: 20297239)","Coupler Detached (LGR S/N: 20297239)","Coupler Attached (LGR S/N: 20297239)","Host Connected (LGR S/N: 20297239)","Stopped (LGR S/N: 20297239)","End Of File (LGR S/N: 20297239)"
77,06/09/18 01:00:00 PM,48.517,14.9966,48.517,48.517,,,,,
78,06/09/18 02:00:00 PM,49.050,14.9905,49.050,49.050,,,,,
79,06/09/18 03:00:00 PM,49.759,14.9849,49.759,49.759,,,,,
80,06/09/18 04:00:00 PM,50.643,14.9747,50.643,50.643,,,,,
81,06/09/18 05:00:00 PM,51.172,14.9762,51.172,51.172,,,,,
82,06/09/18 06:00:00 PM,51.699,14.9651,51.699,51.699,,,,,
83,06/09/18 07:00:00 PM,51.874,14.9605,51.874,51.874,,,,,
84,06/09/18 08:00:00 PM,51.874,14.9580,51.874,51.874,,,,,
85,06/09/18 09:00:00 PM,51.874,14.9631,51.874,51.874,,,,,
86,06/09/18 10:00:00 PM,51.699,14.9625,51.699,51.699,,,,,
87,06/09/18 11:00:00 PM,51.699,14.9725,51.699,51.699,,,,,
88,06/10/18 12:00:00 AM,51.874,14.9805,51.874,51.874,,,,,
89,06/10/18 01:00:00 AM,51.699,14.9875,51.699,51.699,,,,,
90,06/10/18 02:00:00 AM,51.523,14.9970,51.523,51.523,,,,,
91,06/10/18 03:00:00 AM,51.172,15.0085,51.172,51.172,,,,,
92,06/10/18 04:00:00 AM,50.643,15.0121,50.643,50.643,,,,,
93,06/10/18 05:00:00 AM,49.937,15.0253,49.937,49.937,,,,,
94,06/10/18 06:00:00 AM,49.404,15.0214,49.404,49.404,,,,,
95,06/10/18 07:00:00 AM,48.517,15.0316,48.517,48.517,,,,,
96,06/10/18 08:00:00 AM,47.982,15.0326,47.982,47.982,,,,,
97,06/10/18 09:00:00 AM,47.446,15.0362,47.446,47.446,,,,,
98,06/10/18 10:00:00 AM,47.266,15.0382,47.266,47.266,,,,,
99,06/10/18 11:00:00 AM,47.088,15.0278,47.088,47.088,,,,,
100,06/10/18 12:00:00 PM,46.908,15.0224,46.908,46.908,,,,,
101,06/10/18 01:00:00 PM,47.446,15.0063,47.446,47.446,,,,,
102,06/10/18 02:00:00 PM,47.802,14.9998,47.802,47.802,,,,,
103,06/10/18 03:00:00 PM,48.517,14.9867,48.517,48.517,,,,,
104,06/10/18 04:00:00 PM,49.228,14.9686,49.228,49.228,,,,,
105,06/10/18 05:00:00 PM,49.759,14.9699,49.759,49.759,,,,,
106,06/10/18 06:00:00 PM,49.759,14.9625,49.759,49.759,,,,,
107,06/10/18 07:00:00 PM,49.582,14.9445,49.582,49.582,,,,,
108,06/10/18 08:00:00 PM,49.759,14.9400,49.759,49.759,,,,,
