"Plot Title: 20331189"
"#","Date Time, GMT-08:00","Max: Temperature, °F (LGR S/N: 20331189)","Min: Temperature, °F (LGR S/N: 20331189)","Avg: Temperature, °F (LGR S/N: 20331189)","Avg: Pressure, psi (LGR S/N: 20331189)","Coupler Detached (LGR S/N: 20331189)","Coupler Attached (LGR S/N: 20331189)","Host Connected (LGR S/N: 20331189)","Stopped (LGR S/N: 20331189)","End Of File (LGR S/N: 20331189)"
77,06/09/18 01:00:00 PM,65.851,65.851,65.851,14.6517,,,,,
78,06/09/18 02:00:00 PM,63.797,63.797,63.797,14.6442,,,,,
79,06/09/18 03:00:00 PM,62.425,62.425,62.425,14.6384,,,,,
80,06/09/18 04:00:00 PM,64.825,64.825,64.825,14.6318,,,,,
81,06/09/18 05:00:00 PM,68.934,68.934,68.934,14.6320,,,,,
82,06/09/18 06:00:00 PM,73.926,73.926,73.926,14.6247,,,,,
83,06/09/18 07:00:00 PM,73.062,73.062,73.062,14.6226,,,,,
84,06/09/18 08:00:00 PM,66.708,66.708,66.708,14.6215,,,,,
85,06/09/18 09:00:00 PM,63.455,63.455,63.455,14.6160,,,,,
86,06/09/18 10:00:00 PM,72.545,72.545,72.545,14.6213,,,,,
87,06/09/18 11:00:00 PM,57.268,57.268,57.268,14.6259,,,,,
88,06/10/18 12:00:00 AM,49.050,49.050,49.050,14.6316,,,,,
89,06/10/18 01:00:00 AM,47.446,47.446,47.446,14.6302,,,,,
90,06/10/18 02:00:00 AM,45.828,45.828,45.828,14.6316,,,,,
91,06/10/18 03:00:00 AM,44.560,44.560,44.560,14.6311,,,,,
92,06/10/18 04:00:00 AM,43.282,43.282,43.282,14.6259,,,,,
93,06/10/18 05:00:00 AM,41.810,41.810,41.810,14.6300,,,,,
94,06/10/18 06:00:00 AM,41.810,41.810,41.810,14.6250,,,,,
95,06/10/18 07:00:00 AM,43.648,43.648,43.648,14.6242,,,,,
96,06/10/18 08:00:00 AM,51.874,51.874,51.874,14.6281,,,,,
97,06/10/18 09:00:00 AM,61.227,61.227,61.227,14.6230,,,,,
98,06/10/18 10:00:00 AM,76.876,76.876,76.876,14.6175,,,,,
99,06/10/18 11:00:00 AM,70.651,70.651,70.651,14.6091,,,,,
100,06/10/18 12:00:00 PM,68.077,68.077,68.077,14.6050,,,,,
101,06/10/18 01:00:00 PM,67.906,67.906,67.906,14.5922,,,,,
102,06/10/18 02:00:00 PM,68.077,68.077,68.077,14.5851,,,,,
103,06/10/18 03:00:00 PM,66.879,66.879,66.879,14.5772,,,,,
104,06/10/18 04:00:00 PM,70.308,70.308,70.308,14.5658,,,,,
105,06/10/18 05:00:00 PM,73.926,73.926,73.926,14.5600,,,,,
